site_id,model,mae_kw,rmse_kw,mean_error_kw,wape_pct,smape_pct,mape_pct,nrmse_by_median_pct,nrmse_by_peak_pct,peak_precision,peak_recall,peak_f1,peak_false_negative_count,peak_false_positive_count,peak_capture_rate_at_k,md_peak_rank,peak_time_error_intervals,md_abs_error_kw,fold_count
3. Load Profile (No Solar) SuN,direct_hgb,29.883457048242395,42.84702598839645,-21.492987467663507,26.376705561594186,25.517928583273413,21.55689749965267,65.17163641331577,20.28768583884159,0.4780952380952381,0.58,0.5218181818181817,2.1,2.9,0.26,9.5,7.3,68.63753403773887,10
3. Load Profile (No Solar) SuN,enhanced,35.11085889812192,50.88713798391224,-11.87305279212449,34.13325017940555,30.919661800549953,30.726938352042055,80.20970711697109,27.70561117166377,0.45999999999999996,0.45999999999999996,0.4600000000000001,2.7,2.7,0.24,10.7,6.4,72.16571363227675,10
3. Load Profile (No Solar) SuN,enhanced_late_peak_uplift,34.34587012431264,50.27420898324131,-10.016720659521612,33.58394005404365,30.17487415904281,30.60885411457673,79.36601181840501,27.486547862727093,0.45999999999999996,0.45999999999999996,0.4600000000000001,2.7,2.7,0.24,10.8,7.1,37.561980894102376,10
3. Load Profile (No Solar) SuN,enhanced_md_calibrated,37.1078305871538,53.565605453320586,-10.76231114465848,36.037592074574945,31.864941240910486,31.70635549905611,84.59890024786806,28.927831439404052,0.58,0.58,0.5800000000000001,2.1,2.5,0.27999999999999997,10.2,6.1,81.80916256855781,10
3. Load Profile (No Solar) SuN,enhanced_peak_confirmed,35.11085889812192,50.88713798391224,-11.87305279212449,34.13325017940555,30.919661800549953,30.726938352042055,80.20970711697109,27.70561117166377,0.3714772727272727,0.9,0.435955784257671,0.5,20.6,0.16,26.6,6.4,72.16571363227675,10
3. Load Profile (No Solar) SuN,enhanced_peak_priority,35.11085889812192,50.88713798391224,-11.87305279212449,34.13325017940555,30.919661800549953,30.726938352042055,80.20970711697109,27.70561117166377,0.45,0.9,0.6,0.5,4.0,0.26,8.7,6.4,72.16571363227675,10
3. Load Profile (No Solar) SuN,ridge_only,33.868952306595055,49.45295649333954,-12.796722252010301,32.43457532628713,30.003713989259616,29.692435819327216,76.81992659835572,26.210806465548153,0.58,0.58,0.5800000000000001,2.1,2.4,0.2,9.5,6.5,65.96233452436515,10
3. Load Profile (No Solar) SuN,seasonal,36.22015116393229,52.80318982594211,-7.08343250106771,36.29461607246058,29.4827874908338,30.869238435235452,87.30668638668803,30.332829222829865,0.52,0.52,0.52,2.4,2.7,0.22000000000000003,15.2,7.7,82.165249945,10
4. Load Profile (With Solar) Mi2,direct_hgb,169.6528915984567,209.85199200857,65.19748704082507,16.206275072712877,17.271928309038096,20.64338395203767,19.77940931477479,14.843642931349066,0.35154761904761905,0.44000000000000006,0.38783216783216784,2.8,3.1,0.3,11.7,13.9,182.68100468274287,10
4. Load Profile (With Solar) Mi2,enhanced,155.15648408334235,193.33053064776163,-14.205251288507066,14.781040528193163,15.728474455330744,16.87823515874498,18.1778406856652,13.64696954081288,0.48,0.48,0.4800000000000001,2.6,2.7,0.24000000000000005,15.6,12.3,132.61313536748077,10
4. Load Profile (With Solar) Mi2,enhanced_late_peak_uplift,152.02603866016142,191.77095101790158,-8.905020115440575,14.504324916494003,15.465216708025968,16.7057208515413,18.05696349492043,13.548908575378032,0.5,0.5,0.5000000000000001,2.5,2.3,0.32,12.2,10.7,114.04421066306654,10
4. Load Profile (With Solar) Mi2,enhanced_md_calibrated,165.8962543194311,209.7532054985023,17.196846717617237,15.862257217683197,16.474376478553413,18.085995181216703,19.799703209011927,14.841471803766037,0.4600000000000001,0.4600000000000001,0.4600000000000001,2.7,2.7,0.26,14.2,12.3,79.70051875902281,10
4. Load Profile (With Solar) Mi2,enhanced_peak_confirmed,155.15648408334235,193.33053064776163,-14.205251288507066,14.781040528193163,15.728474455330744,16.87823515874498,18.1778406856652,13.64696954081288,0.052083333333333336,0.5,0.09433962264150943,2.5,18.2,0.02,33.3,12.3,132.61313536748077,10
4. Load Profile (With Solar) Mi2,enhanced_peak_priority,155.15648408334235,193.33053064776163,-14.205251288507066,14.781040528193163,15.728474455330744,16.87823515874498,18.1778406856652,13.64696954081288,0.36,0.72,0.48,1.4,5.6,0.26,10.2,12.3,132.61313536748077,10
4. Load Profile (With Solar) Mi2,ridge_only,175.29837379348538,211.92512180045486,-10.754359390862852,16.686602431039823,17.830633839213988,19.27467803982325,19.87841832251451,14.953335482389537,0.4600000000000001,0.4600000000000001,0.4600000000000001,2.7,2.8,0.2,14.8,18.7,124.31632688437443,10
4. Load Profile (With Solar) Mi2,seasonal,148.320625,197.15223499346502,41.53270833333332,14.242254318416972,14.697913289522447,16.358752381962972,18.692653027663923,13.979208741080566,0.5,0.5,0.5,2.5,2.8,0.22000000000000003,16.0,15.5,46.43000000000004,10
