site_id,fold,model,mae_kw,rmse_kw,mean_error_kw,wape_pct,smape_pct,mape_pct,nrmse_by_median_pct,nrmse_by_peak_pct,peak_precision,peak_recall,peak_f1,peak_false_negative_count,peak_false_positive_count,peak_capture_rate_at_k,md_peak_rank,peak_time_error_intervals,md_abs_error_kw
1. Load Profile (With Solar Installed) SoL,1,direct_hgb,65.63129622253864,111.73834168009087,33.41753987810903,9.6345410076514,10.495487105266736,12.738178382853818,17.243571246927605,12.97774003253088,0.6666666666666666,0.8,0.7272727272727272,1.0,2.0,0.2,18.0,13.0,73.91935439731606
1. Load Profile (With Solar Installed) SoL,1,enhanced,113.93251602737057,157.1388558820478,-56.122619788050166,16.725061989460478,21.61341952988908,18.263845778543068,24.249823438587626,18.250738197682672,0.6,0.6,0.6,2.0,0.0,0.6,3.0,2.0,55.156325966233
1. Load Profile (With Solar Installed) SoL,1,enhanced_late_peak_uplift,113.93251602737057,157.1388558820478,-56.122619788050166,16.725061989460478,21.61341952988908,18.263845778543068,24.249823438587626,18.250738197682672,0.6,0.6,0.6,2.0,0.0,0.6,3.0,2.0,55.156325966233
1. Load Profile (With Solar Installed) SoL,1,enhanced_md_calibrated,113.93251602737057,157.1388558820478,-56.122619788050166,16.725061989460478,21.61341952988908,18.263845778543068,24.249823438587626,18.250738197682672,0.6,0.6,0.6,2.0,0.0,0.6,3.0,2.0,55.156325966233
1. Load Profile (With Solar Installed) SoL,1,enhanced_peak_confirmed,113.93251602737057,157.1388558820478,-56.122619788050166,16.725061989460478,21.61341952988908,18.263845778543068,24.249823438587626,18.250738197682672,0.75,0.6,0.6666666666666665,2.0,0.0,0.4,2.0,2.0,55.156325966233
1. Load Profile (With Solar Installed) SoL,1,enhanced_peak_priority,113.93251602737057,157.1388558820478,-56.122619788050166,16.725061989460478,21.61341952988908,18.263845778543068,24.249823438587626,18.250738197682672,0.5,1.0,0.6666666666666666,0.0,1.0,0.4,2.0,2.0,55.156325966233
1. Load Profile (With Solar Installed) SoL,1,ridge_only,119.47729668974561,155.3997034599457,-59.18502548535924,17.539024530881978,22.05487800786469,19.34399881693629,23.981435719127422,18.048746046451303,0.6,0.6,0.6,2.0,0.0,0.6,4.0,2.0,78.97878172909043
1. Load Profile (With Solar Installed) SoL,1,seasonal,125.01666666666665,187.9526292269766,-75.50416666666668,18.352192794666337,25.654728793735565,19.880305672209634,29.005035374533428,21.829573661669755,0.8,0.8,0.8000000000000002,1.0,0.0,0.6,1.0,0.0,27.799999999999955
1. Load Profile (With Solar Installed) SoL,2,direct_hgb,110.64460689971078,133.4695346956713,-15.700846812671392,15.99103074547187,16.327290884064848,17.263829244356103,20.676922493519957,14.748014883499593,0.16666666666666666,0.2,0.1818181818181818,4.0,5.0,0.0,16.0,6.0,169.18387329745917
1. Load Profile (With Solar Installed) SoL,2,enhanced,23.83405377174601,35.85972947135139,5.028427428878928,3.4446422408882587,3.7154262235039,3.84871671434908,5.5553415137647395,3.962401046558165,1.0,1.0,1.0,0.0,0.0,0.8,5.0,1.0,16.01591915334484
1. Load Profile (With Solar Installed) SoL,2,enhanced_late_peak_uplift,23.83405377174601,35.85972947135139,5.028427428878928,3.4446422408882587,3.7154262235039,3.84871671434908,5.5553415137647395,3.962401046558165,1.0,1.0,1.0,0.0,0.0,0.8,5.0,1.0,16.01591915334484
1. Load Profile (With Solar Installed) SoL,2,enhanced_md_calibrated,32.439646225169525,44.20171165542155,-5.725530607041598,4.688374740479758,4.751444290865131,4.834251167855844,6.847670279693501,4.884167033748238,1.0,1.0,1.0,0.0,2.0,0.4,1.0,0.0,41.70779519021846
1. Load Profile (With Solar Installed) SoL,2,enhanced_peak_confirmed,23.83405377174601,35.85972947135139,5.028427428878928,3.4446422408882587,3.7154262235039,3.84871671434908,5.5553415137647395,3.962401046558165,1.25,1.0,1.1111111111111112,0.0,0.0,0.6,32.0,1.0,16.01591915334484
1. Load Profile (With Solar Installed) SoL,2,enhanced_peak_priority,23.83405377174601,35.85972947135139,5.028427428878928,3.4446422408882587,3.7154262235039,3.84871671434908,5.5553415137647395,3.962401046558165,0.5,1.0,0.6666666666666666,0.0,5.0,0.6,14.0,1.0,16.01591915334484
1. Load Profile (With Solar Installed) SoL,2,ridge_only,36.650011121783784,57.06470821742378,-1.4599024455410152,5.296882252937557,5.594357363048715,5.861693609502602,8.840388569701592,6.30549262070981,1.0,1.0,1.0,0.0,0.0,0.8,4.0,1.0,1.77540399369218
1. Load Profile (With Solar Installed) SoL,2,seasonal,23.529166666666665,30.019389567411256,2.9916666666666494,3.40057810429965,3.5283817866095877,3.58743885425949,4.650563836934355,3.3170596207084264,1.0,1.0,1.0,0.0,2.0,0.4,9.0,3.0,42.20000000000016
1. Load Profile (With Solar Installed) SoL,3,direct_hgb,108.03149752303705,127.4946971976081,-28.904824280319133,15.242987392650514,15.426603551511779,15.651360626910945,19.55440141067609,13.873198824549306,0.2,0.2,0.20000000000000004,4.0,1.0,0.2,17.0,11.0,179.54724006790923
1. Load Profile (With Solar Installed) SoL,3,enhanced,43.991344123524584,56.901963926051934,-21.789290476879348,6.207074040768923,6.557300593340537,6.396594032247338,8.727295080682811,6.191726216110112,0.2,0.2,0.20000000000000004,4.0,1.0,0.2,10.0,7.0,25.497255703056908
1. Load Profile (With Solar Installed) SoL,3,enhanced_late_peak_uplift,43.991344123524584,56.901963926051934,-21.789290476879348,6.207074040768923,6.557300593340537,6.396594032247338,8.727295080682811,6.191726216110112,0.2,0.2,0.20000000000000004,4.0,1.0,0.2,10.0,7.0,25.497255703056908
1. Load Profile (With Solar Installed) SoL,3,enhanced_md_calibrated,47.49683998306657,59.41253760455981,-25.565734015460635,6.701691170190762,6.970658535344358,6.790742853725844,9.112352393337394,6.4649116000609155,0.2,0.2,0.20000000000000004,4.0,1.0,0.2,14.0,7.0,44.3448362950279
1. Load Profile (With Solar Installed) SoL,3,enhanced_peak_confirmed,43.991344123524584,56.901963926051934,-21.789290476879348,6.207074040768923,6.557300593340537,6.396594032247338,8.727295080682811,6.191726216110112,0.5,0.2,0.28571428571428575,4.0,0.0,0.0,24.0,7.0,25.497255703056908
1. Load Profile (With Solar Installed) SoL,3,enhanced_peak_priority,43.991344123524584,56.901963926051934,-21.789290476879348,6.207074040768923,6.557300593340537,6.396594032247338,8.727295080682811,6.191726216110112,0.5,1.0,0.6666666666666666,0.0,3.0,0.2,9.0,7.0,25.497255703056908
1. Load Profile (With Solar Installed) SoL,3,ridge_only,60.14958134964533,79.93228541765875,-29.628642188139725,8.486962887747952,8.790193516081528,8.577184150802546,12.25955297816852,8.697745964924783,0.2,0.2,0.20000000000000004,4.0,1.0,0.2,7.0,7.0,19.513842206556205
1. Load Profile (With Solar Installed) SoL,3,seasonal,40.92083333333333,47.79180543426527,-23.575000000000006,5.773832270201945,6.146953927273598,5.982781536937648,7.330031508322894,5.200414084250846,0.2,0.2,0.20000000000000004,4.0,1.0,0.2,11.0,9.0,43.200000000000045
1. Load Profile (With Solar Installed) SoL,4,direct_hgb,192.44303273796314,218.71535377319498,118.76145535133075,51.630795212242084,55.6154726090654,125.22711705133356,59.192247299917454,34.01482951371617,0.0,0.0,0.0,5.0,5.0,0.0,14.0,4.0,90.21980340585924
1. Load Profile (With Solar Installed) SoL,4,enhanced,245.09384003341006,294.62071051403944,233.8951080403984,65.75654978259283,62.5152758664819,141.90556304709042,79.73496901597821,45.81970614526275,0.0,0.0,0.0,5.0,5.0,0.0,35.0,15.0,153.07701270181985
1. Load Profile (With Solar Installed) SoL,4,enhanced_late_peak_uplift,245.09384003341006,294.62071051403944,233.8951080403984,65.75654978259283,62.5152758664819,141.90556304709042,79.73496901597821,45.81970614526275,0.0,0.0,0.0,5.0,5.0,0.0,35.0,15.0,153.07701270181985
1. Load Profile (With Solar Installed) SoL,4,enhanced_md_calibrated,247.979889112633,298.62259441497673,236.78115711962133,66.5308516986551,62.83601678751371,142.7219777815977,80.81802284573119,46.4420831127491,0.0,0.0,0.0,5.0,5.0,0.0,35.0,15.0,167.41912000156572
1. Load Profile (With Solar Installed) SoL,4,enhanced_peak_confirmed,245.09384003341006,294.62071051403944,233.8951080403984,65.75654978259283,62.5152758664819,141.90556304709042,79.73496901597821,45.81970614526275,0.0,0.0,0.0,5.0,1.0,0.2,15.0,15.0,153.07701270181985
1. Load Profile (With Solar Installed) SoL,4,enhanced_peak_priority,245.09384003341006,294.62071051403944,233.8951080403984,65.75654978259283,62.5152758664819,141.90556304709042,79.73496901597821,45.81970614526275,0.0,0.0,0.0,5.0,10.0,0.0,36.0,15.0,153.07701270181985
1. Load Profile (With Solar Installed) SoL,4,ridge_only,228.97061781418572,274.84659701442155,217.7369041818034,61.4308292162591,60.47115501309512,135.0210450293427,74.38338214192734,42.74441633194736,0.0,0.0,0.0,5.0,5.0,0.0,33.0,15.0,140.98522277170434
1. Load Profile (With Solar Installed) SoL,4,seasonal,261.8931547619047,319.44175217441403,255.46875,70.26366010044954,64.07955296949407,148.16321473722235,86.45243631242599,49.67989924952007,0.0,0.0,0.0,5.0,5.0,0.0,30.0,8.0,188.70000000000005
1. Load Profile (With Solar Installed) SoL,5,direct_hgb,30.30053547798828,32.694385660521306,30.30053547798828,42.82761198302231,34.68268302580078,43.03789799173956,46.37501512130682,43.59251421402841,1.2,0.5454545454545454,0.7499999999999999,5.0,1.0,0.36363636363636365,34.0,41.0,94.88756037695629
1. Load Profile (With Solar Installed) SoL,5,enhanced,174.31623690523193,210.07321995336375,174.31623690523193,246.38337371764234,95.35669688402609,246.95391084885162,297.9761985154095,280.09762660448496,0.4,0.18181818181818182,0.25000000000000006,9.0,0.0,0.18181818181818182,5.0,4.0,360.4858937918754
1. Load Profile (With Solar Installed) SoL,5,enhanced_late_peak_uplift,174.31623690523193,210.07321995336375,174.31623690523193,246.38337371764234,95.35669688402609,246.95391084885162,297.9761985154095,280.09762660448496,0.4,0.18181818181818182,0.25000000000000006,9.0,0.0,0.18181818181818182,5.0,4.0,360.4858937918754
