model,site_id,site_type,light_regime,horizon_bucket,actual_peak_regime,rows,mean_error_kw,mean_abs_error_kw,max_abs_error_kw
enhanced_late_peak_uplift,2. Load Profile (No Solar) E,non_solar,daylight,middle,non_peak,134,14.873813341911978,144.08396328456155,575.3237060378767
enhanced,2. Load Profile (No Solar) E,non_solar,daylight,middle,non_peak,134,14.873813341911978,144.08396328456155,575.3237060378767
enhanced,4. Load Profile (With Solar) Mi2,solar,daylight,late,non_peak,26,57.390890068159585,142.73651070710855,322.6551850831065
enhanced_late_peak_uplift,4. Load Profile (With Solar) Mi2,solar,daylight,late,non_peak,26,66.73329301202983,141.5288270971988,326.22399999999993
enhanced,4. Load Profile (With Solar) Mi2,solar,daylight,early,non_peak,50,11.774075440034572,137.2567454395447,613.408087109078
enhanced_late_peak_uplift,4. Load Profile (With Solar) Mi2,solar,daylight,early,non_peak,50,11.774075440034572,137.2567454395447,613.408087109078
direct_hgb,4. Load Profile (With Solar) Mi2,solar,night,early,non_peak,99,37.81078787610219,130.4406907192339,466.3559353472424
enhanced,1. Load Profile (With Solar Installed) SoL,solar,daylight,middle,non_peak,122,27.762256137205082,129.40272013811528,519.1323545955256
enhanced_late_peak_uplift,1. Load Profile (With Solar Installed) SoL,solar,daylight,middle,non_peak,122,27.762256137205082,129.40272013811528,519.1323545955256
direct_hgb,1. Load Profile (With Solar Installed) SoL,solar,daylight,early,actual_peak,2,-127.74497133771584,127.74497133771584,134.44382509299743
enhanced,2. Load Profile (No Solar) E,non_solar,night,early,non_peak,102,23.263973500728493,126.86880116027498,431.57228736725483
enhanced_late_peak_uplift,2. Load Profile (No Solar) E,non_solar,night,early,non_peak,102,23.263973500728493,126.86880116027498,431.57228736725483
direct_hgb,1. Load Profile (With Solar Installed) SoL,solar,daylight,middle,actual_peak,38,-106.50750244174252,118.9210167169354,441.5841511969581
enhanced,2. Load Profile (No Solar) E,non_solar,daylight,early,non_peak,44,16.98724106648712,117.72221900526043,420.86957909531986
enhanced_late_peak_uplift,2. Load Profile (No Solar) E,non_solar,daylight,early,non_peak,44,16.98724106648712,117.72221900526043,420.86957909531986
enhanced_late_peak_uplift,1. Load Profile (With Solar Installed) SoL,solar,night,late,non_peak,122,-12.563871309621323,114.91144123131497,570.7522660783292
enhanced,1. Load Profile (With Solar Installed) SoL,solar,night,late,non_peak,122,-12.563871309621323,114.91144123131497,570.7522660783292
enhanced,1. Load Profile (With Solar Installed) SoL,solar,daylight,late,non_peak,28,-13.311204173708504,108.1725293875851,336.86656301195546
enhanced,1. Load Profile (With Solar Installed) SoL,solar,night,early,non_peak,104,-50.57373638435234,104.79780657096559,456.25117843583564
enhanced_late_peak_uplift,1. Load Profile (With Solar Installed) SoL,solar,night,early,non_peak,104,-50.57373638435234,104.79780657096559,456.25117843583564
enhanced_late_peak_uplift,1. Load Profile (With Solar Installed) SoL,solar,daylight,early,non_peak,48,-18.65424122432916,103.33789150956733,334.4896615880271
enhanced,1. Load Profile (With Solar Installed) SoL,solar,daylight,early,non_peak,48,-18.65424122432916,103.33789150956733,334.4896615880271
direct_hgb,1. Load Profile (With Solar Installed) SoL,solar,daylight,late,non_peak,28,-58.43687331438873,102.70727540280177,376.3609409474358
enhanced_late_peak_uplift,1. Load Profile (With Solar Installed) SoL,solar,daylight,late,non_peak,28,-7.742918459422792,102.6042436732994,336.86656301195546
direct_hgb,1. Load Profile (With Solar Installed) SoL,solar,daylight,middle,non_peak,122,-15.814690234911922,95.60116299084446,400.9192388147751
enhanced_late_peak_uplift,2. Load Profile (No Solar) E,non_solar,daylight,late,actual_peak,2,-88.65190249776401,90.9276244643479,179.5795269621119
enhanced,2. Load Profile (No Solar) E,non_solar,daylight,late,actual_peak,2,-88.65190249776401,90.9276244643479,179.5795269621119
enhanced,1. Load Profile (With Solar Installed) SoL,solar,daylight,middle,actual_peak,38,-79.92046537330107,89.76268154274536,353.18399999999997
enhanced_late_peak_uplift,1. Load Profile (With Solar Installed) SoL,solar,daylight,middle,actual_peak,38,-79.92046537330107,89.76268154274536,353.18399999999997
enhanced_late_peak_uplift,3. Load Profile (No Solar) SuN,non_solar,daylight,middle,actual_peak,47,-39.51357987097048,73.68169816370063,224.36548035408268
enhanced,3. Load Profile (No Solar) SuN,non_solar,daylight,middle,actual_peak,47,-39.51357987097048,73.68169816370063,224.36548035408268
direct_hgb,3. Load Profile (No Solar) SuN,non_solar,daylight,middle,actual_peak,47,-70.45116621072653,72.73283331187538,224.22943755544793
enhanced,3. Load Profile (No Solar) SuN,non_solar,daylight,late,non_peak,27,-1.2037102378046585,71.95015141210465,206.27010336416143
direct_hgb,1. Load Profile (With Solar Installed) SoL,solar,night,early,actual_peak,6,-54.220898821603015,70.02349941341359,129.3393522086199
enhanced_late_peak_uplift,3. Load Profile (No Solar) SuN,non_solar,daylight,middle,non_peak,113,-26.514901181181614,67.06840842022494,220.05224012080714
enhanced,3. Load Profile (No Solar) SuN,non_solar,daylight,middle,non_peak,113,-26.514901181181614,67.06840842022494,220.05224012080714
enhanced_late_peak_uplift,3. Load Profile (No Solar) SuN,non_solar,daylight,late,non_peak,27,31.797749897357594,58.35035098882854,181.87480544405923
direct_hgb,3. Load Profile (No Solar) SuN,non_solar,daylight,middle,non_peak,113,-48.41009250614269,57.1893079865449,218.7782375554479
direct_hgb,3. Load Profile (No Solar) SuN,non_solar,daylight,late,non_peak,27,-24.751720667925948,53.50317449144753,212.1188466152235
enhanced,1. Load Profile (With Solar Installed) SoL,solar,daylight,early,actual_peak,2,-49.134818161657904,49.134818161657904,57.87232595699777
enhanced_late_peak_uplift,1. Load Profile (With Solar Installed) SoL,solar,daylight,early,actual_peak,2,-49.134818161657904,49.134818161657904,57.87232595699777
enhanced_late_peak_uplift,1. Load Profile (With Solar Installed) SoL,solar,daylight,late,actual_peak,2,-47.23607804784683,47.23607804784683,84.56254129792148
enhanced,1. Load Profile (With Solar Installed) SoL,solar,daylight,late,actual_peak,2,-47.23607804784683,47.23607804784683,84.56254129792148
direct_hgb,1. Load Profile (With Solar Installed) SoL,solar,night,late,actual_peak,8,41.837911614457724,41.837911614457724,95.88756037695629
direct_hgb,1. Load Profile (With Solar Installed) SoL,solar,daylight,early,non_peak,48,0.9272779131300606,41.20544003844145,257.7883523819185
direct_hgb,1. Load Profile (With Solar Installed) SoL,solar,daylight,late,actual_peak,2,-39.50859328662068,39.50859328662068,68.74465391949218
direct_hgb,1. Load Profile (With Solar Installed) SoL,solar,night,early,non_peak,104,7.385790244761196,38.03696722165179,125.33935220861991
enhanced,3. Load Profile (No Solar) SuN,non_solar,daylight,late,actual_peak,3,-9.623457591468073,35.9355857035364,63.93936906615994
enhanced_late_peak_uplift,3. Load Profile (No Solar) SuN,non_solar,daylight,late,actual_peak,3,-9.623457591468073,35.9355857035364,63.93936906615994
direct_hgb,3. Load Profile (No Solar) SuN,non_solar,daylight,late,actual_peak,3,-26.739435457396322,26.783353864368987,74.96898329257311
enhanced_late_peak_uplift,3. Load Profile (No Solar) SuN,non_solar,night,late,non_peak,130,-0.34725244435950375,18.360597474879537,161.94497590892973
enhanced,3. Load Profile (No Solar) SuN,non_solar,night,late,non_peak,130,-0.34725244435950375,18.360597474879537,161.94497590892973
enhanced,1. Load Profile (With Solar Installed) SoL,solar,night,late,actual_peak,8,14.393128444888694,14.393128444888694,23.546718855357028
enhanced_late_peak_uplift,1. Load Profile (With Solar Installed) SoL,solar,night,late,actual_peak,8,14.393128444888694,14.393128444888694,23.546718855357028
direct_hgb,3. Load Profile (No Solar) SuN,non_solar,night,late,non_peak,130,-0.3324477282923446,13.620434963604724,156.20844661522352
enhanced_late_peak_uplift,3. Load Profile (No Solar) SuN,non_solar,daylight,early,non_peak,50,-5.9267995467646415,13.378870398514557,67.59436081004556
enhanced,3. Load Profile (No Solar) SuN,non_solar,daylight,early,non_peak,50,-5.9267995467646415,13.378870398514557,67.59436081004556
direct_hgb,3. Load Profile (No Solar) SuN,non_solar,daylight,early,non_peak,50,-9.734419142312923,12.881173253168006,61.542419794925955
enhanced,3. Load Profile (No Solar) SuN,non_solar,night,early,non_peak,110,-4.026271895550199,6.4105479001970105,21.913878658600034
enhanced_late_peak_uplift,3. Load Profile (No Solar) SuN,non_solar,night,early,non_peak,110,-4.026271895550199,6.4105479001970105,21.913878658600034
direct_hgb,3. Load Profile (No Solar) SuN,non_solar,night,early,non_peak,110,-2.333043574367035,4.759758492994818,12.05299713957504
