model,rmse_kw,wape_pct,md_abs_error_kw,peak_precision,peak_recall,peak_f1,peak_false_negative_count,peak_false_positive_count,md_peak_rank,peak_time_error_intervals
enhanced,141.0566458931619,26.880090478446515,114.0355993606939,0.48,0.47204545454545455,0.4748863636363637,2.7750000000000004,2.325,14.95,9.25
enhanced_md_calibrated,151.7306461130371,28.09816670072196,111.94547312875757,0.515,0.5070454545454546,0.5098863636363636,2.6,2.3,14.6,9.025
enhanced_peak_confirmed,141.0566458931619,26.880090478446515,114.0355993606939,0.3954734848484848,0.63,0.3599606944418265,2.0,12.55,23.95,9.25
enhanced_peak_priority,141.0566458931619,26.880090478446515,114.0355993606939,0.3925,0.7762121212121212,0.5205952380952381,1.25,4.35,12.325,9.25
