variant,mae_kw,rmse_kw,mean_error_kw,wape_pct,smape_pct,mape_pct,nrmse_by_median_pct,nrmse_by_peak_pct,peak_precision,peak_recall,peak_f1,peak_false_negative_count,peak_false_positive_count,peak_capture_rate_at_k,md_peak_rank,peak_time_error_intervals,md_abs_error_kw
global_regime_current,74.52728764731128,92.64544615125538,18.40344456051062,21.64339061781346,17.531759559741655,22.314771270925746,38.18957056351924,18.54465437891382,0.15000000000000002,0.15000000000000002,0.15000000000000002,4.25,4.25,0.15000000000000002,17.0,18.5,48.672351057056964
global_regime_softened,74.43361695115351,91.88517214215943,15.70772178836636,21.642779468096236,17.51736588252849,22.233259220393784,38.13578392042092,18.503526337514685,0.15000000000000002,0.15000000000000002,0.15000000000000002,4.25,4.25,0.15000000000000002,17.0,18.5,47.82788665719783
seasonal_anchor_baseline,77.1412921515625,97.09199093176557,43.11523870937497,24.43512091983264,17.333736378055903,23.596126070163876,44.790671674174014,21.139260751486475,0.15000000000000002,0.15000000000000002,0.15000000000000002,4.25,4.25,0.15000000000000002,13.0,14.0,67.58242937499995
