site_id,fold_count,mae_kw,rmse_kw,mean_error_kw,wape_pct,smape_pct,mape_pct,nrmse_by_median_pct,nrmse_by_peak_pct,peak_precision,peak_recall,peak_f1,peak_false_negative_count,peak_false_positive_count,peak_capture_rate_at_k,md_peak_rank,peak_time_error_intervals,md_abs_error_kw,drift_slope_kw_per_step,cumulative_error_kw,overprediction_ratio,mean_effective_blend_weight
1. Load Profile (With Solar Installed) SoL,10,111.20318964731885,139.5958558259695,-14.345115242054002,41.5940819677627,28.488475803401712,49.22355708463793,50.97727801097601,42.193638870544795,0.58,0.5581818181818182,0.5650000000000001,2.7,1.0,0.4581818181818182,9.9,5.8,110.49373399139051,0.4913821795182825,-688.565531618592,0.39583333333333337,0.5567467005243699
2. Load Profile (No Solar) E,10,150.95627069663834,180.4130591150044,4.413063020489245,17.011989238424622,16.61552986078602,17.355187212933526,20.52680290494415,16.09628869887205,0.4,0.39,0.3945454545454546,3.1,2.9,0.19666666666666668,23.6,12.5,140.86981445162712,0.18128046466281234,211.827024983484,0.5291666666666666,0.2996356382978723
3. Load Profile (No Solar) SuN,10,35.11085889812192,50.88713798391224,-11.87305279212449,34.13325017940555,30.919661800549953,30.726938352042055,80.20970711697109,27.70561117166377,0.45999999999999996,0.45999999999999996,0.4600000000000001,2.7,2.7,0.24,10.7,6.4,72.16571363227675,0.1666390175251593,-569.9065340219755,0.3875,0.5322244680851064
4. Load Profile (With Solar) Mi2,10,155.15648408334235,193.33053064776163,-14.205251288507066,14.781040528193163,15.728474455330744,16.87823515874498,18.1778406856652,13.64696954081288,0.48,0.48,0.4800000000000001,2.6,2.7,0.24000000000000005,15.6,12.3,132.61313536748077,0.09497910327391224,-681.8520618483392,0.4270833333333333,0.24569447902519995
