model,mae_kw,rmse_kw,mean_error_kw,wape_pct,smape_pct,mape_pct,nrmse_by_median_pct,nrmse_by_peak_pct,peak_precision,peak_recall,peak_f1,peak_false_negative_count,peak_false_positive_count,peak_capture_rate_at_k,md_peak_rank,peak_time_error_intervals,md_abs_error_kw,fold_count,mean_elapsed_seconds
direct_lgbm_md_risk_smoke,83.46664893722985,111.07963300426786,18.693960964958443,18.864583043276152,19.205238139098114,17.78303118018573,33.2631057038224,16.404664709139013,0.24912393353413378,0.9,0.3788776392425846,0.5,11.875,0.325,8.75,10.5,129.62927295458275,8,1079.5301489250014
direct_lgbm_quantile_p50_smoke,83.46664893722985,111.07963300426786,18.693960964958443,18.864583043276152,19.205238139098114,17.78303118018573,33.2631057038224,16.404664709139013,0.37552083333333336,0.6,0.43542707292707294,2.0,3.75,0.35,8.5,10.5,129.62927295458275,8,1079.5301489250014
direct_lgbm_quantile_p80_smoke,129.71715229599334,160.4870305500508,106.57322217548592,21.2769724355257,20.26080606732944,22.114916442098497,34.067067213940376,19.00886317304306,0.31867559523809524,0.475,0.3607142857142857,2.625,4.25,0.275,16.375,9.875,62.70003008584119,8,1079.5301489250014
direct_lgbm_quantile_p90_smoke,263.7636028037349,290.17831562875796,249.97038243308552,37.31317198559233,32.98982904113665,40.53174149640666,49.08705962485934,30.609346614501806,0.21041666666666667,0.825,0.29774871355060034,0.875,19.625,0.17500000000000002,20.5,13.625,85.77828874385513,8,1079.5301489250014
