site_id,hours,model,mae_kw,rmse_kw,mean_error_kw,wape_pct,smape_pct,mape_pct,nrmse_by_median_pct,nrmse_by_peak_pct,peak_precision,peak_recall,peak_f1,peak_false_negative_count,peak_false_positive_count,peak_capture_rate_at_k,md_peak_rank,peak_time_error_intervals,md_abs_error_kw
1. Load Profile (With Solar Installed) SoL,48.0,enhanced,44.22141379776243,52.15941856340649,-36.40046664863697,5.8640988543044905,5.865703010521846,5.66643189041365,7.592346224658877,5.433272767021509,0.9,0.9,0.9,1.0,0.0,0.7,4.0,2.0,70.81190427666888
1. Load Profile (With Solar Installed) SoL,48.0,enhanced_peak_priority,44.22141379776243,52.15941856340649,-36.40046664863697,5.8640988543044905,5.865703010521846,5.66643189041365,7.592346224658877,5.433272767021509,0.5,1.0,0.6666666666666666,0.0,2.0,0.6,2.0,2.0,70.81190427666888
1. Load Profile (With Solar Installed) SoL,48.0,ridge_only,62.622057601870836,78.63942947705057,-49.74679741748889,8.304165441583004,8.315748406552009,7.923009199413926,11.446787405684217,8.191607237192768,0.8,0.8,0.8000000000000002,2.0,0.0,0.7,4.0,1.0,24.76421177598877
1. Load Profile (With Solar Installed) SoL,48.0,seasonal,31.073435254855088,38.675766292719146,-23.469525924262758,4.120575993129387,4.343236043565046,4.214238821575633,5.629660304617052,4.028725655491578,0.7,0.7,0.7,3.0,1.0,0.6,3.0,2.0,46.19999999999993
2. Load Profile (No Solar) E,48.0,enhanced,107.72264644075557,137.14852903418048,-60.67059242030217,14.920034133068638,16.266536890176255,14.985338493002537,19.262433853115237,14.37615608324743,0.6,0.6,0.6,4.0,3.0,0.3,1.0,0.0,71.0607889428635
2. Load Profile (No Solar) E,48.0,enhanced_peak_priority,107.72264644075557,137.14852903418048,-60.67059242030217,14.920034133068638,16.266536890176255,14.985338493002537,19.262433853115237,14.37615608324743,0.4,0.8,0.5333333333333333,2.0,3.0,0.6,2.0,0.0,71.0607889428635
2. Load Profile (No Solar) E,48.0,ridge_only,142.1954176870673,179.19465326213984,-95.62939402073884,19.694656189344503,22.75661236302872,19.807224144675995,25.167788379514022,18.783506631251555,0.8,0.8,0.8000000000000002,2.0,2.0,0.4,2.0,4.0,22.737938050507864
2. Load Profile (No Solar) E,48.0,seasonal,100.27665134727381,122.08768177228221,-38.944027427279536,13.888732873583631,14.726132528881683,13.988006429388422,17.14714631633177,12.797450919526437,0.8,0.8,0.8000000000000002,2.0,1.0,0.5,10.0,4.0,37.59999999999991
3. Load Profile (No Solar) SuN,48.0,enhanced,30.389511985852042,45.57352590600934,10.687467451920705,25.09239919376571,22.864157999979984,29.393165033598738,64.99687292676707,14.801164614413322,1.0,1.0,1.0,0.0,0.0,0.6,14.0,8.0,37.00636935569105
3. Load Profile (No Solar) SuN,48.0,enhanced_peak_priority,30.389511985852042,45.57352590600934,10.687467451920705,25.09239919376571,22.864157999979984,29.393165033598738,64.99687292676707,14.801164614413322,0.5,1.0,0.6666666666666666,0.0,4.0,0.6,15.0,8.0,37.00636935569105
3. Load Profile (No Solar) SuN,48.0,ridge_only,36.03725532726861,51.29117104989865,20.31035618384094,29.75569982632385,28.689241362450762,39.3700816571726,73.15136717468123,16.65811566876103,1.0,1.0,1.0,0.0,0.0,0.7,8.0,4.0,33.00796527355067
3. Load Profile (No Solar) SuN,48.0,seasonal,35.79868942575514,54.528115467909025,17.485058621922054,29.55871769519968,25.43165206578129,33.984352266834335,77.76789093109058,17.70939590714962,0.5,0.5,0.5,5.0,5.0,0.3,32.0,9.0,32.06271099999998
4. Load Profile (With Solar) Mi2,48.0,enhanced,130.84868148890712,163.43412753097954,-26.01598544918293,12.541407171460746,13.184601328179028,13.628408367027586,15.587422749735769,11.469061581121371,0.9,0.9,0.9,1.0,1.0,0.7,19.0,4.0,108.23110254412654
4. Load Profile (With Solar) Mi2,48.0,enhanced_peak_priority,130.84868148890712,163.43412753097954,-26.01598544918293,12.541407171460746,13.184601328179028,13.628408367027586,15.587422749735769,11.469061581121371,0.45,0.9,0.6,1.0,11.0,0.5,2.0,4.0,108.23110254412654
4. Load Profile (With Solar) Mi2,48.0,ridge_only,171.980477674137,202.7988723591181,3.6327480839381976,16.48375185375115,17.24215997521541,18.409046693340937,19.34180947631074,14.231499814674955,0.9,0.9,0.9,1.0,3.0,0.4,25.0,3.0,14.00128640361595
4. Load Profile (With Solar) Mi2,48.0,seasonal,129.08715615988527,166.15584428202303,33.422830324264375,12.372570877944275,12.781711887057757,13.729763648652005,15.847004700240632,11.660059247861264,0.9,0.9,0.9,1.0,1.0,0.7,21.0,4.0,6.0
