site_id,fold,model,train_rows,direct_rows,feature_count,row_build_seconds,fit_seconds,forecast_seconds,mae_kw,rmse_kw,mean_error_kw,wape_pct,smape_pct,mape_pct,nrmse_by_median_pct,nrmse_by_peak_pct,peak_precision,peak_recall,peak_f1,peak_false_negative_count,peak_false_positive_count,peak_capture_rate_at_k,md_peak_rank,peak_time_error_intervals,md_abs_error_kw
2. Load Profile (No Solar) E,10,direct_lgbm_p50_tiny,1200,24168,73,1.2377462000004016,1.9687893000082113,0.042668000009143725,129.37724280543665,151.30036150888765,118.37868333936694,18.24623961998225,17.550477069949302,20.086987587257074,21.67626955714723,16.445691468357353,0.6,0.6,0.6,2.0,0.0,0.4,20.0,6.0,56.096550388113656
2. Load Profile (No Solar) E,10,direct_lgbm_p90_tiny,1200,24168,73,1.2377462000004016,1.9687893000082113,0.042668000009143725,429.7236426949814,440.94794781787346,429.7236426949814,60.60448023904541,47.2079253322049,63.7097203322293,63.17305842662943,47.92912476281233,0.10416666666666667,1.0,0.18867924528301885,0.0,35.0,0.2,14.0,13.0,218.78614269498144
2. Load Profile (No Solar) E,10,direct_lgbm_md_risk_tiny,1200,24168,73,1.2377462000004016,1.9687893000082113,0.042668000009143725,129.37724280543665,151.30036150888765,118.37868333936694,18.24623961998225,17.550477069949302,20.086987587257074,21.67626955714723,16.445691468357353,0.10416666666666667,1.0,0.18867924528301885,0.0,35.0,0.2,14.0,6.0,56.096550388113656
