site_id,hours,model,mae_kw,rmse_kw,mean_error_kw,wape_pct,smape_pct,mape_pct,nrmse_by_median_pct,nrmse_by_peak_pct,peak_precision,peak_recall,peak_f1,peak_false_negative_count,peak_false_positive_count,peak_capture_rate_at_k,md_peak_rank,peak_time_error_intervals,md_abs_error_kw
1. Load Profile (With Solar Installed) SoL,48.0,enhanced,44.22141379776243,52.15941856340649,-36.40046664863697,5.8640988543044905,5.865703010521846,5.66643189041365,7.592346224658877,5.433272767021509,0.9,0.9,0.9,1.0,0.0,0.7,4.0,2.0,70.81190427666888
2. Load Profile (No Solar) E,48.0,enhanced,107.72264644075557,137.14852903418048,-60.67059242030217,14.920034133068638,16.266536890176255,14.985338493002537,19.262433853115237,14.37615608324743,0.6,0.6,0.6,4.0,3.0,0.3,1.0,0.0,71.0607889428635
3. Load Profile (No Solar) SuN,48.0,enhanced,30.389511985852042,45.57352590600934,10.687467451920705,25.09239919376571,22.864157999979984,29.393165033598738,64.99687292676707,14.801164614413322,1.0,1.0,1.0,0.0,0.0,0.6,14.0,8.0,37.00636935569105
4. Load Profile (With Solar) Mi2,48.0,enhanced,130.84868148890712,163.43412753097954,-26.01598544918293,12.541407171460746,13.184601328179028,13.628408367027586,15.587422749735769,11.469061581121371,0.9,0.9,0.9,1.0,1.0,0.7,19.0,4.0,108.23110254412654
