policy,alert_quantile,match_window_intervals,score_smoothing_window,mae_kw,rmse_kw,mean_error_kw,wape_pct,smape_pct,mape_pct,nrmse_by_median_pct,nrmse_by_peak_pct,peak_precision,peak_recall,peak_f1,peak_false_negative_count,peak_false_positive_count,peak_capture_rate_at_k,md_peak_rank,peak_time_error_intervals,md_abs_error_kw,site_id,fold,cutoff
catch_more_25pct,0.75,2.0,1.0,43.991344123524584,56.901963926051934,-21.789290476879348,6.207074040768923,6.557300593340537,6.396594032247338,8.727295080682811,6.191726216110112,0.4166666666666667,1.0,0.5882352941176471,0.0,3.0,0.2,9.0,7.0,25.497255703056908,1. Load Profile (With Solar Installed) SoL,3,2544
strict_15pct,0.85,2.0,1.0,43.991344123524584,56.901963926051934,-21.789290476879348,6.207074040768923,6.557300593340537,6.396594032247338,8.727295080682811,6.191726216110112,0.125,0.2,0.15384615384615385,4.0,3.0,0.2,9.0,7.0,25.497255703056908,1. Load Profile (With Solar Installed) SoL,3,2544
strict_15pct,0.85,2.0,1.0,245.09384003341006,294.62071051403944,233.8951080403984,65.75654978259283,62.5152758664819,141.90556304709042,79.73496901597821,45.81970614526275,0.0,0.0,0.0,5.0,8.0,0.0,36.0,15.0,153.07701270181985,1. Load Profile (With Solar Installed) SoL,4,2592
current_20pct,0.8,2.0,1.0,245.09384003341006,294.62071051403944,233.8951080403984,65.75654978259283,62.5152758664819,141.90556304709042,79.73496901597821,45.81970614526275,0.0,0.0,0.0,5.0,10.0,0.0,36.0,15.0,153.07701270181985,1. Load Profile (With Solar Installed) SoL,4,2592
catch_more_25pct,0.75,2.0,1.0,245.09384003341006,294.62071051403944,233.8951080403984,65.75654978259283,62.5152758664819,141.90556304709042,79.73496901597821,45.81970614526275,0.0,0.0,0.0,5.0,12.0,0.0,36.0,15.0,153.07701270181985,1. Load Profile (With Solar Installed) SoL,4,2592
smoothed_20pct,0.8,2.0,3.0,245.09384003341006,294.62071051403944,233.8951080403984,65.75654978259283,62.5152758664819,141.90556304709042,79.73496901597821,45.81970614526275,0.0,0.0,0.0,5.0,10.0,0.0,36.0,15.0,153.07701270181985,1. Load Profile (With Solar Installed) SoL,4,2592
current_20pct,0.8,2.0,1.0,174.31623690523193,210.07321995336375,174.31623690523193,246.38337371764234,95.35669688402609,246.95391084885162,297.9761985154095,280.09762660448496,0.2,0.18181818181818182,0.1904761904761905,9.0,4.0,0.18181818181818182,11.0,4.0,360.4858937918754,1. Load Profile (With Solar Installed) SoL,5,2640
smoothed_20pct,0.8,2.0,3.0,174.31623690523193,210.07321995336375,174.31623690523193,246.38337371764234,95.35669688402609,246.95391084885162,297.9761985154095,280.09762660448496,0.2,0.18181818181818182,0.1904761904761905,9.0,4.0,0.09090909090909091,12.0,4.0,360.4858937918754,1. Load Profile (With Solar Installed) SoL,5,2640
catch_more_25pct,0.75,2.0,1.0,174.31623690523193,210.07321995336375,174.31623690523193,246.38337371764234,95.35669688402609,246.95391084885162,297.9761985154095,280.09762660448496,0.16666666666666666,0.18181818181818182,0.17391304347826086,9.0,5.0,0.18181818181818182,11.0,4.0,360.4858937918754,1. Load Profile (With Solar Installed) SoL,5,2640
strict_15pct,0.85,2.0,1.0,174.31623690523193,210.07321995336375,174.31623690523193,246.38337371764234,95.35669688402609,246.95391084885162,297.9761985154095,280.09762660448496,0.125,0.09090909090909091,0.10526315789473685,10.0,4.0,0.18181818181818182,11.0,4.0,360.4858937918754,1. Load Profile (With Solar Installed) SoL,5,2640
strict_15pct,0.85,2.0,1.0,239.88655214789674,290.6025286945877,-239.88655214789674,41.702779700478224,50.05470447712651,37.159766985701,44.60514638443403,30.557573995224786,0.625,1.0,0.7692307692307693,0.0,1.0,0.8,2.0,13.0,334.0319999999999,1. Load Profile (With Solar Installed) SoL,6,2688
current_20pct,0.8,2.0,1.0,239.88655214789674,290.6025286945877,-239.88655214789674,41.702779700478224,50.05470447712651,37.159766985701,44.60514638443403,30.557573995224786,0.5,1.0,0.6666666666666666,0.0,3.0,0.8,2.0,13.0,334.0319999999999,1. Load Profile (With Solar Installed) SoL,6,2688
smoothed_20pct,0.8,2.0,3.0,239.88655214789674,290.6025286945877,-239.88655214789674,41.702779700478224,50.05470447712651,37.159766985701,44.60514638443403,30.557573995224786,0.5,1.0,0.6666666666666666,0.0,2.0,0.6,1.0,13.0,334.0319999999999,1. Load Profile (With Solar Installed) SoL,6,2688
catch_more_25pct,0.75,2.0,1.0,239.88655214789674,290.6025286945877,-239.88655214789674,41.702779700478224,50.05470447712651,37.159766985701,44.60514638443403,30.557573995224786,0.4166666666666667,1.0,0.5882352941176471,0.0,5.0,0.8,2.0,13.0,334.0319999999999,1. Load Profile (With Solar Installed) SoL,6,2688
strict_15pct,0.85,2.0,1.0,143.96789194695825,202.1942547209697,-142.2722532344666,19.080704678615003,28.115783002696304,21.283885039018656,27.85044830867351,21.41888291535696,0.625,1.0,0.7692307692307693,0.0,3.0,0.6,2.0,2.0,32.04504358991994,1. Load Profile (With Solar Installed) SoL,7,2736
current_20pct,0.8,2.0,1.0,143.96789194695825,202.1942547209697,-142.2722532344666,19.080704678615003,28.115783002696304,21.283885039018656,27.85044830867351,21.41888291535696,0.5,1.0,0.6666666666666666,0.0,5.0,0.6,2.0,2.0,32.04504358991994,1. Load Profile (With Solar Installed) SoL,7,2736
smoothed_20pct,0.8,2.0,3.0,143.96789194695825,202.1942547209697,-142.2722532344666,19.080704678615003,28.115783002696304,21.283885039018656,27.85044830867351,21.41888291535696,0.5,1.0,0.6666666666666666,0.0,5.0,0.4,1.0,2.0,32.04504358991994,1. Load Profile (With Solar Installed) SoL,7,2736
catch_more_25pct,0.75,2.0,1.0,143.96789194695825,202.1942547209697,-142.2722532344666,19.080704678615003,28.115783002696304,21.283885039018656,27.85044830867351,21.41888291535696,0.4166666666666667,1.0,0.5882352941176471,0.0,7.0,0.6,2.0,2.0,32.04504358991994,1. Load Profile (With Solar Installed) SoL,7,2736
strict_15pct,0.85,2.0,1.0,60.253713307645285,67.38896959650732,-50.652698528114804,7.797520257655425,8.100400591324771,7.764931582273673,9.237692885059262,7.07124549805953,0.625,1.0,0.7692307692307693,0.0,0.0,0.4,6.0,9.0,53.08887847857204,1. Load Profile (With Solar Installed) SoL,8,2784
current_20pct,0.8,2.0,1.0,60.253713307645285,67.38896959650732,-50.652698528114804,7.797520257655425,8.100400591324771,7.764931582273673,9.237692885059262,7.07124549805953,0.5,1.0,0.6666666666666666,0.0,0.0,0.4,6.0,9.0,53.08887847857204,1. Load Profile (With Solar Installed) SoL,8,2784
smoothed_20pct,0.8,2.0,3.0,60.253713307645285,67.38896959650732,-50.652698528114804,7.797520257655425,8.100400591324771,7.764931582273673,9.237692885059262,7.07124549805953,0.5,1.0,0.6666666666666666,0.0,1.0,0.4,6.0,9.0,53.08887847857204,1. Load Profile (With Solar Installed) SoL,8,2784
catch_more_25pct,0.75,2.0,1.0,60.253713307645285,67.38896959650732,-50.652698528114804,7.797520257655425,8.100400591324771,7.764931582273673,9.237692885059262,7.07124549805953,0.4166666666666667,1.0,0.5882352941176471,0.0,1.0,0.4,6.0,9.0,53.08887847857204,1. Load Profile (With Solar Installed) SoL,8,2784
strict_15pct,0.85,2.0,1.0,38.40024700191189,44.550814285880946,-28.68363513175861,5.055435699648301,5.120615049285418,4.9815016195209765,6.461321868873233,4.640709821445932,0.625,1.0,0.7692307692307693,0.0,3.0,0.8,1.0,1.0,52.66071426743645,1. Load Profile (With Solar Installed) SoL,9,2832
current_20pct,0.8,2.0,1.0,38.40024700191189,44.550814285880946,-28.68363513175861,5.055435699648301,5.120615049285418,4.9815016195209765,6.461321868873233,4.640709821445932,0.5,1.0,0.6666666666666666,0.0,5.0,0.8,1.0,1.0,52.66071426743645,1. Load Profile (With Solar Installed) SoL,9,2832
smoothed_20pct,0.8,2.0,3.0,38.40024700191189,44.550814285880946,-28.68363513175861,5.055435699648301,5.120615049285418,4.9815016195209765,6.461321868873233,4.640709821445932,0.5,1.0,0.6666666666666666,0.0,4.0,0.8,1.0,1.0,52.66071426743645,1. Load Profile (With Solar Installed) SoL,9,2832
